Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
55	11	0	1.03036262	293.203522	293.20327	293.202515	293.203534	0.0010187015	9.40029674e-05	0	0	0.0928864	0	0	3
56	11	0	1.04909648	293.203518	293.203307	293.202597	293.203534	0.000936423062	9.40029674e-05	0	0	0.0929709	0	0	3
57	11	0	1.06783035	293.203515	293.203341	293.202701	293.203534	0.000832838414	9.40029674e-05	0	0	0.092654	0	0	3
58	11	0	1.08656421	293.203512	293.203371	293.202791	293.203534	0.000742595986	9.40029674e-05	0	0	0.09275	0	0	3
59	12	0	1.10529808	293.203508	293.203398	293.202872	293.203534	0.00066176349	9.40029674e-05	0	0	0.0925462	0	0	3
60	12	0	1.12403195	293.203505	293.203421	293.202947	293.203534	0.000586722233	9.40029674e-05	0	0	0.0925791	0	0	3
61	12	0	1.14276581	293.203501	293.203441	293.203018	293.203534	0.000515870738	9.40029674e-05	0	0	0.0923623	0	0	3
62	12	0	1.16149968	293.203499	293.203459	293.20311	293.203534	0.000423892172	9.40029674e-05	0	0	0.0923378	0	0	3
63	12	0	1.18023354	293.203496	293.203474	293.203189	293.203534	0.000344208027	9.40029674e-05	0	0	0.09214	0	0	3
64	13	0	1.19896741	293.203493	293.203485	293.203257	293.203534	0.000276812587	9.40029674e-05	0	0	0.092323	0	0	3
65	13	0	1.21770127	293.20349	293.203493	293.203312	293.203534	0.000221688275	9.40029674e-05	0	0	0.0921724	0	0	3
66	13	0	1.23643514	293.203489	293.2035	293.203358	293.203534	0.000175990332	9.40029674e-05	0	0	0.0923728	0	0	3
67	13	0	1.25516901	293.203486	293.203505	293.203406	293.203534	0.000127575294	9.40029674e-05	0	0	0.0922797	0	0	3
68	13	0	1.27390287	293.203484	293.203508	293.203445	293.203534	8.8572544e-05	9.40029674e-05	0	0	0.0924421	0	0	3
69	14	0	1.29263674	293.203482	293.203509	293.203474	293.203534	5.9195694e-05	9.40029674e-05	0	0	0.0921608	0	0	3
