Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
54	11	0	1.01162875	-3.81358094	-4.69565524	-6.59096863	-3.76280038	2.82816824	0.945975184	0	33.4	0	0	0	3
55	11	0	1.03036262	-3.72608806	-4.58954855	-6.0925695	-3.72608806	2.36648144	0.945975184	0	39.9	0	0	0	3
56	11	0	1.04909648	-3.70255658	-4.51740923	-6.0925695	-3.70255658	2.39001292	0.945975184	0	39.5	0	0	0	3
57	11	0	1.06783035	-3.91608834	-4.43679882	-5.80777548	-3.70255658	2.1052189	0.945975184	0	44.9	0	0	0	3
58	11	0	1.08656421	-3.78681815	-4.36194855	-5.445678	-3.70255658	1.74312142	0.945975184	0	54.2	0	0	0	3
59	12	0	1.10529808	-3.64318407	-4.30333376	-5.445678	-3.64318407	1.80249393	0.945975184	0	52.4	0	0	0	3
60	12	0	1.12403195	-3.72319213	-4.23953799	-5.29732429	-3.64318407	1.65414022	0.945975184	0	57.1	0	0	0	3
61	12	0	1.14276581	-3.67452425	-4.17943428	-5.15306516	-3.64318407	1.50988109	0.945975184	0	62.6	0	0	0	3
62	12	0	1.16149968	-3.7575075	-4.13420153	-5.15306516	-3.64318407	1.50988109	0.945975184	0	62.6	0	0	0	3
63	12	0	1.18023354	-3.73187734	-4.08156494	-5.08401365	-3.64318407	1.44082958	0.945975184	0	65.6	0	0	0	3
64	13	0	1.19896741	-3.71347359	-4.0308042	-4.99222436	-3.64318407	1.3490403	0.945975184	0	70.1	0	0	0	3
65	13	0	1.21770127	-3.54245144	-3.9771089	-4.72346286	-3.54245144	1.18101142	0.945975184	0	80	0	0	0	3
66	13	0	1.23643514	-3.71283945	-3.9412235	-4.72346286	-3.54245144	1.18101142	0.945975184	0	80	0	0	0	3
67	13	0	1.25516901	-3.67489323	-3.90238759	-4.51994024	-3.54245144	0.977488796	0.945975184	0	96.7	0	0	0	3
68	13	0	1.27390287	-3.51228297	-3.86546627	-4.51994024	-3.51228297	1.00765726	0.945975184	0	93.8	0	0	0	3
69	14	0	1.29263674	-3.59064388	-3.83104789	-4.32023627	-3.51228297	0.807953302	0.945975184	0	100	0	0	0	3
