Iteration	CPUTime	PhysTime	Travels	Value	AvValue	MinValue	MaxValue	Delta	Criteria	Progress	dGMaxMin	CriteriaType	CriteriaVarType	CriteriaPercentage
57	11	0	1.06783035	101325.05	101325.046	101325.043	101325.05	0.00719617515	0.00353831305	0	0	356.618	0	0	3
58	11	0	1.08656421	101325.05	101325.047	101325.043	101325.05	0.00725032452	0.00353831305	0	0	350.667	0	0	3
59	12	0	1.10529808	101325.05	101325.047	101325.043	101325.05	0.00743110418	0.00353831305	0	0	344.915	0	0	3
60	12	0	1.12403195	101325.05	101325.047	101325.043	101325.05	0.00743110418	0.00353831305	0	0	339.138	0	0	3
61	12	0	1.14276581	101325.05	101325.047	101325.043	101325.05	0.00743110418	0.00353831305	0	0	333.474	0	0	3
62	12	0	1.16149968	101325.05	101325.047	101325.043	101325.05	0.00743110418	0.00353831305	0	0	327.934	0	0	3
63	12	0	1.18023354	101325.05	101325.048	101325.043	101325.05	0.00710880644	0.00353831305	0	0	322.573	0	0	3
64	13	0	1.19896741	101325.05	101325.048	101325.043	101325.05	0.00710880644	0.00353831305	0	0	317.156	0	0	3
65	13	0	1.21770127	101325.05	101325.048	101325.043	101325.05	0.00707874318	0.00353831305	0	0	311.944	0	0	3
66	13	0	1.23643514	101325.05	101325.048	101325.043	101325.05	0.00707874318	0.00353831305	0	0	306.701	0	0	3
67	13	0	1.25516901	101325.05	101325.049	101325.044	101325.05	0.0059504294	0.00353831305	0	0	301.636	0	0	3
68	13	0	1.27390287	101325.049	101325.049	101325.045	101325.05	0.00548409908	0.00353831305	0	0	296.776	0	0	3
69	14	0	1.29263674	101325.049	101325.049	101325.045	101325.05	0.00484083941	0.00353831305	0	0	291.993	0	0	3
